max_d,max_p,months_since,sizerank,state,city,growth_rate,pop2010,pop2014
"20060201T000000",94300,37,2673,IN,Wabash,7.20385,59371,63648
"20071001T000000",200300,56,2333,GA,Ellijay,1.29151,1626,1647
"20050501T000000",293700,27,3989,MA,Blackstone,0.720142,9026,9091
"20060701T000000",225900,41,2534,PA,West Norriton,0.797194,15680,15805
"20060201T000000",297300,37,3032,MA,Holden,6.39793,17365,18476
"20070601T000000",101300,52,3156,MO,Bellefontaine Neighbors,-0.37795,10848,10807
"20070201T000000",46100,49,3510,MI,Muskegon Heights,-0.460872,10849,10799
"20050901T000000",101000,32,3029,IN,Salem,0.708906,2257,2273
"20050801T000000",192800,30,3786,MI,Middleville,-0.030175,3314,3313
"20051201T000000",179500,34,1999,MI,Auburn Hills,2.03653,21409,21845
"20030601T000000",237600,4,3238,MI,Chelsea,4.91242,4967,5211
"20071001T000000",134100,56,234,PA,Allentown,0.775889,118187,119104
"20051101T000000",317200,34,3616,VT,Essex,5.5086,19642,20724
"20050401T000000",249600,26,3820,MI,East Grand Rapids,5.19529,10702,11258
"20050801T000000",199900,30,1316,CO,Englewood,7.0287,30347,32480
"20071101T000000",489200,57,3984,CT,Woodbridge,-0.78924,8996,8925
"20060701T000000",406700,41,2582,RI,Portsmouth,-0.0747728,17386,17373
"20050901T000000",668800,32,1866,MA,Belmont,2.98501,24757,25496
"20070601T000000",167400,52,4666,MI,Dorr,2.28004,7456,7626
"20050801T000000",102500,30,592,IN,Lafayette,4.8411,3367,3530
"20051101T000000",341500,34,3886,MA,Carver,0.538148,11521,11583
"20060401T000000",260000,38,4885,CT,Ledyard,0.485114,15048,15121
"20070601T000000",190800,52,2732,OR,Cottage Grove,1.57862,9692,9845
"20060801T000000",210900,42,3373,CT,Windsor Locks,0.479808,12505,12565
"20051101T000000",381400,34,1860,MA,Chelmsford,3.206,33874,34960
"20060501T000000",1.477e+06,39,2121,CT,New Canaan,2.68931,19782,20314
"20061101T000000",254100,45,4267,CT,Brooklyn,0.474741,8215,8254
"20080901T000000",161400,68,3987,PA,Mechanicsburg,-0.111371,8979,8969
"20051001T000000",110900,32,4239,IN,Greensburg,2.40922,11539,11817
"20051001T000000",378400,32,18,MA,Boston,5.68581,620598,655884
"20080601T000000",358800,64,1467,CO,Durango,5.98443,16827,17834
"20070601T000000",178700,52,732,MA,Chicopee,0.940751,55275,55795
"20050601T000000",298400,28,3929,MI,Grosse Ile,-1.61384,10348,10181
"20060301T000000",102200,37,374,MI,Kalamazoo,3.20643,250777,258818
"20050601T000000",279900,28,3090,MI,Dexter,7.8922,4156,4484
"20050701T000000",274500,29,416,MI,Troy,2.59997,81001,83107
"20060101T000000",344200,36,4811,MA,West Bridgewater,1.94946,6925,7060
"20050801T000000",348400,30,4086,MA,Maynard,3.46735,10123,10474
"20070501T000000",251600,51,190,OR,Eugene,2.6303,156446,160561
"20051101T000000",86400,34,1776,IN,Vincennes,-1.54924,23689,23322
"20060601T000000",297300,40,4928,PA,Cheltenham,0.652458,36784,37024
"20050801T000000",334600,30,1008,MA,Everett,6.02378,41718,44231
"20080701T000000",159100,65,1321,IN,Newburgh,-1.56156,3330,3278
"20080401T000000",118300,62,796,NE,Grand Island,4.97244,48809,51236
"20050801T000000",347900,30,2917,MA,East Bridgewater,3.16529,13806,14243
"20060201T000000",90400,37,3002,GA,Summerville,-2.17391,4508,4410
"20070401T000000",201200,50,664,CT,Meriden,-0.95443,60874,60293
"20070601T000000",119900,52,934,IN,New Albany,1.20538,49279,49873
"20050701T000000",231400,29,1718,CO,Wheat Ridge,2.69358,30220,31034
"20050601T000000",102600,28,3761,IN,North Manchester,-1.90008,6105,5989
"20060601T000000",228800,40,2847,CT,Killingly,-1.17972,17377,17172
"20050901T000000",349500,32,2431,MA,Norton,1.26344,19154,19396
"20060301T000000",418100,37,1651,VA,Warrenton,3.00478,9618,9907
"20070601T000000",117300,52,4241,MI,Otsego,1.69855,5593,5688
"20051201T000000",146900,34,1116,MN,Moorhead,4.34043,38199,39857
"20051201T000000",213000,34,250,CO,Thornton,9.13941,119395,130307
"20070401T000000",278900,50,2669,CT,Ellington,1.02981,15634,15795
"20080301T000000",169800,61,2938,IN,Lowell,1.14028,9296,9402
"20060601T000000",223000,40,2326,RI,Central Falls,-0.283754,19383,19328
"20080301T000000",154000,61,2450,PA,Carlisle,0.944554,18739,18916
"20060901T000000",266300,43,770,CO,Broomfield,10.4361,56266,62138
"20070301T000000",278300,49,4288,PA,Swarthmore,0.129157,6194,6202
"20061201T000000",123600,46,162,CO,Pueblo,1.46613,159536,161875
"20080601T000000",139800,64,825,IN,Goshen,2.17543,31580,32267
"20090101T000000",62300,72,1048,PA,Wilkes-Barre,-1.40656,2986,2944
"20050201T000000",223400,25,4799,MI,Manchester,3.67133,4576,4744
"20070501T000000",211100,51,1067,GA,Buford,9.09091,12276,13392
"20060301T000000",151600,37,887,MI,Portage,3.18816,46359,47837
"20060201T000000",114400,37,115,MI,Grand Rapids,3.08195,187998,193792
"20050601T000000",257700,28,3983,VT,Brattleboro,-2.32462,12045,11765
"20070201T000000",233300,49,463,MN,Brooklyn Park,3.63038,75970,78728
"20061101T000000",177100,45,642,GA,Snellville,6.00393,18338,19439
"20070601T000000",126300,52,2451,MO,Republic,5.98175,14795,15680
"20051101T000000",602400,34,3140,MA,Westwood,2.31557,14640,14979
"20061001T000000",230900,44,706,GA,Fayetteville,3.52191,16156,16725
"20070201T000000",316600,49,573,MN,Plymouth,6.18669,70684,75057
"20090501T000000",104300,75,2528,CO,Sterling,-1.49485,14851,14629
"20060401T000000",254500,38,842,MN,Apple Valley,2.75579,49133,50487
"20051201T000000",192900,34,1005,MI,East Lansing,1.48947,1947,1976
"20060501T000000",231300,39,2353,MN,White Bear Lake,4.96863,23427,24591
"20090401T000000",137500,74,2270,OR,Pendleton,1.54992,16646,16904
"20051201T000000",170100,34,3262,MI,Clawson,1.87706,11827,12049
"20060501T000000",83500,39,2315,GA,Thomaston,-2.07832,9142,8952
"20051001T000000",233900,32,1028,RI,Woonsocket,0.0922554,41190,41228
"20070901T000000",219400,55,56,GA,Marietta,5.55067,56858,60014
"20071101T000000",199600,57,1160,IN,Fishers,11.5829,77364,86325
"20071001T000000",253600,56,1562,OR,Newberg,2.21161,22201,22692
"20061101T000000",217700,45,2641,GA,Grayson,8.55135,2561,2780
"20050701T000000",446400,29,2671,MA,North Reading,3.91986,14924,15509
"20070201T000000",121500,49,4923,GA,Hapeville,4.12178,6405,6669
"20051101T000000",193200,34,978,MI,Chesterfield,2.27666,43397,44385
"20070501T000000",246100,51,3177,VA,Louisa,3.13901,1561,1610
"20080901T000000",182300,68,3697,PA,South Middleton,2.51769,14696,15066
"20061101T000000",124800,45,2129,IN,Plymouth,0.698254,10025,10095
"20071001T000000",135700,56,2815,NE,La Vista,9.62889,16087,17636
"20060201T000000",227800,37,1416,AZ,El Mirage,5.51954,31778,33532
"20050901T000000",279100,32,1311,RI,Coventry,0.06,35000,35021
"20060101T000000",267700,36,581,AZ,Avondale,4.52917,76195,79646
"20070501T000000",259300,51,2997,OR,Milwaukie,1.62982,20309,20640
"20060401T000000",249400,38,3605,PA,Aston,1.25495,16654,16863
"20051101T000000",960400,34,1606,MA,Wellesley,4.31292,28148,29362
"20060901T000000",92700,43,2769,GA,Thomson,-2.15849,6764,6618
"20061101T000000",119900,45,4107,IN,Rensselaer,-0.785428,5984,5937
"20060501T000000",282500,39,241,AZ,Surprise,7.31738,117665,126275
"20080801T000000",133400,66,1298,GA,Thomasville,0.640439,18581,18700
