max_d,max_p,months_since,sizerank,state
"20081101T000000",128000,70,3432,NY
,nan,nan,3433,MI
"20090101T000000",79100,72,3434,PA
"20090401T000000",66900,74,3435,MS
"20060101T000000",592300,36,3436,NJ
"20090401T000000",123000,74,3437,AL
"20060301T000000",690900,37,3438,MD
"20050301T000000",972000,25,3439,CA
"20060601T000000",131300,40,3440,IL
"20051001T000000",420400,32,3441,MA
"20070901T000000",174500,55,3442,NC
"20060801T000000",139100,42,3443,OH
"20060801T000000",236000,42,3444,CO
"20060701T000000",348700,41,3445,NY
"20070901T000000",258200,55,3446,CO
"20070601T000000",354800,52,3447,OR
"20070601T000000",132800,52,3448,TN
"20051101T000000",127800,34,3449,OH
"20081001T000000",256700,68,3450,PA
"20080101T000000",48600,59,3451,NY
"20070601T000000",144500,52,3452,PA
"20071201T000000",242400,58,3453,OR
"20071101T000000",257600,57,3454,FL
,nan,nan,3455,NH
"20061201T000000",149500,46,3456,AL
"20051001T000000",606800,32,3457,MA
"20080601T000000",200800,64,3458,TX
"20060801T000000",390600,42,3459,NJ
"20060501T000000",334400,39,3460,NY
,nan,nan,3461,WA
"20050301T000000",123100,25,3462,OH
"20060501T000000",589200,39,3463,NY
"20071101T000000",208000,57,3464,PA
,nan,nan,3465,PA
"20090601T000000",108900,76,3466,KS
"20060501T000000",317000,39,3467,OH
"20070201T000000",303900,49,3468,WA
"20051001T000000",208800,32,3469,MN
"20071201T000000",132700,58,3470,AL
"20070401T000000",347300,50,3471,PA
"20080801T000000",234600,66,3472,PA
"20070401T000000",792600,50,3473,CA
"20090701T000000",140400,77,3474,TX
"20060901T000000",383800,43,3475,FL
"20090501T000000",70000,75,3476,TN
"20070201T000000",290100,49,3477,NJ
,nan,nan,3478,IN
"20070201T000000",627700,49,3479,IL
"20071201T000000",174300,58,3480,MO
"20071101T000000",150000,57,3481,PA
"20051201T000000",1.1284e+06,34,3482,NY
"20070301T000000",423400,49,3483,PA
"20060501T000000",215200,39,3484,MN
"20070601T000000",380800,52,3485,MD
"20060401T000000",489700,38,3486,NJ
"20080801T000000",280100,66,3487,NC
"20060501T000000",762800,39,3488,CA
"20071101T000000",1.5199e+06,57,3489,CA
"20030901T000000",643200,7,3490,NY
"20070901T000000",386800,55,3491,CO
"20060901T000000",316200,43,3492,CO
"20060801T000000",319200,42,3493,PA
"20080101T000000",132700,59,3494,IL
"20080701T000000",247400,65,3495,PA
"20080801T000000",171300,66,3496,IN
"20080201T000000",158800,61,3497,MI
"20060901T000000",485600,43,3498,CA
"20070401T000000",301000,50,3499,IL
"20060601T000000",466100,40,3500,RI
"20060301T000000",106900,37,3501,IN
"20070901T000000",156300,55,3502,TN
